topic,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_us,United States,2023,total_pop,332387540,0,NA,NA
total_pop,2_state,Connecticut,2023,total_pop,3598348,0,NA,NA
total_pop,3_county,Capitol COG,2023,total_pop,969029,0,NA,NA
total_pop,3_county,Greater Bridgeport COG,2023,total_pop,326296,0,NA,NA
total_pop,3_county,Lower Connecticut River Valley COG,2023,total_pop,174983,0,NA,NA
total_pop,3_county,Naugatuck Valley COG,2023,total_pop,452303,0,NA,NA
total_pop,3_county,Northeastern Connecticut COG,2023,total_pop,95829,0,NA,NA
total_pop,3_county,Northwest Hills COG,2023,total_pop,112848,0,NA,NA
total_pop,3_county,South Central Connecticut COG,2023,total_pop,566803,0,NA,NA
total_pop,3_county,Southeastern Connecticut COG,2023,total_pop,279025,0,NA,NA
total_pop,3_county,Western Connecticut COG,2023,total_pop,621232,0,NA,NA
total_pop,4_region,6 wealthiest Fairfield County,2023,total_pop,123435,73,NA,NA
total_pop,4_region,Eastern cities,2023,total_pop,129182,65,NA,NA
total_pop,4_region,Greater Bridgeport,2023,total_pop,326296,150,NA,NA
total_pop,4_region,Greater Danbury,2023,total_pop,267695,402,NA,NA
total_pop,4_region,Greater Danbury other towns,2023,total_pop,153448,397,NA,NA
total_pop,4_region,Greater Hartford,2023,total_pop,969029,225,NA,NA
total_pop,4_region,Greater New Haven,2023,total_pop,462346,160,NA,NA
total_pop,4_region,Greater Norwalk,2023,total_pop,168135,77,NA,NA
total_pop,4_region,Greater Norwalk other towns,2023,total_pop,76760,63,NA,NA
total_pop,4_region,Greater Waterbury,2023,total_pop,340615,472,NA,NA
total_pop,4_region,Hartford Foundation,2023,total_pop,757461,205,NA,NA
total_pop,4_region,Hartford Foundation other towns,2023,total_pop,637491,198,NA,NA
total_pop,4_region,Hartford Inner Ring,2023,total_pop,425159,163,NA,NA
total_pop,4_region,Hartford Outer Ring,2023,total_pop,350599,139,NA,NA
total_pop,4_region,Lower Naugatuck Valley,2023,total_pop,140104,93,NA,NA
total_pop,4_region,New Haven Inner Ring,2023,total_pop,143173,79,NA,NA
total_pop,4_region,New Haven Outer Ring,2023,total_pop,186280,116,NA,NA
total_pop,4_region,North Central DMHAS,2023,total_pop,1005934,229,NA,NA
total_pop,4_region,Other New Haven County cities,2023,total_pop,104457,52,NA,NA
total_pop,4_region,QVHD,2023,total_pop,98795,74,NA,NA
total_pop,4_region,South Central DMHAS,2023,total_pop,821297,404,NA,NA
total_pop,4_region,Southeastern DMHAS,2023,total_pop,430406,657,NA,NA
total_pop,4_region,Southwestern DMHAS,2023,total_pop,715425,180,NA,NA
total_pop,4_region,Western DMHAS,2023,total_pop,625286,663,NA,NA
total_pop,6_town,Andover,2023,total_pop,3148,19,NA,NA
total_pop,6_town,Avon,2023,total_pop,18856,31,NA,NA
total_pop,6_town,Berlin,2023,total_pop,20210,31,NA,NA
total_pop,6_town,Bloomfield,2023,total_pop,21547,26,NA,NA
total_pop,6_town,Bolton,2023,total_pop,4848,25,NA,NA
total_pop,6_town,Canton,2023,total_pop,10108,23,NA,NA
total_pop,6_town,Columbia,2023,total_pop,5268,21,NA,NA
total_pop,6_town,Coventry,2023,total_pop,12267,23,NA,NA
total_pop,6_town,East Granby,2023,total_pop,5214,16,NA,NA
total_pop,6_town,East Hartford,2023,total_pop,50798,39,NA,NA
total_pop,6_town,East Windsor,2023,total_pop,11157,18,NA,NA
total_pop,6_town,Ellington,2023,total_pop,16700,28,NA,NA
total_pop,6_town,Enfield,2023,total_pop,41100,81,NA,NA
total_pop,6_town,Farmington,2023,total_pop,26685,59,NA,NA
total_pop,6_town,Glastonbury,2023,total_pop,35136,26,NA,NA
total_pop,6_town,Granby,2023,total_pop,11020,21,NA,NA
total_pop,6_town,Hartford,2023,total_pop,119970,53,NA,NA
total_pop,6_town,Hebron,2023,total_pop,9109,29,NA,NA
total_pop,6_town,Manchester,2023,total_pop,59473,73,NA,NA
total_pop,6_town,Mansfield,2023,total_pop,22454,29,NA,NA
total_pop,6_town,Marlborough,2023,total_pop,6106,14,NA,NA
total_pop,6_town,New Britain,2023,total_pop,73301,46,NA,NA
total_pop,6_town,Newington,2023,total_pop,30551,52,NA,NA
total_pop,6_town,Plainville,2023,total_pop,17468,25,NA,NA
total_pop,6_town,Rocky Hill,2023,total_pop,20724,47,NA,NA
total_pop,6_town,Simsbury,2023,total_pop,24747,37,NA,NA
total_pop,6_town,Somers,2023,total_pop,10164,20,NA,NA
total_pop,6_town,Southington,2023,total_pop,43575,51,NA,NA
total_pop,6_town,South Windsor,2023,total_pop,26820,36,NA,NA
total_pop,6_town,Stafford,2023,total_pop,11462,24,NA,NA
total_pop,6_town,Suffield,2023,total_pop,15636,24,NA,NA
total_pop,6_town,Tolland,2023,total_pop,14556,28,NA,NA
total_pop,6_town,Vernon,2023,total_pop,30377,34,NA,NA
total_pop,6_town,West Hartford,2023,total_pop,63809,49,NA,NA
total_pop,6_town,Wethersfield,2023,total_pop,27180,26,NA,NA
total_pop,6_town,Willington,2023,total_pop,5563,18,NA,NA
total_pop,6_town,Windsor,2023,total_pop,29367,34,NA,NA
total_pop,6_town,Windsor Locks,2023,total_pop,12555,27,NA,NA
total_pop,6_town,Bridgeport,2023,total_pop,148012,100,NA,NA
total_pop,6_town,Easton,2023,total_pop,7612,32,NA,NA
total_pop,6_town,Fairfield,2023,total_pop,62508,91,NA,NA
total_pop,6_town,Monroe,2023,total_pop,18833,28,NA,NA
total_pop,6_town,Stratford,2023,total_pop,52403,35,NA,NA
total_pop,6_town,Trumbull,2023,total_pop,36928,35,NA,NA
total_pop,6_town,Chester,2023,total_pop,3786,340,NA,NA
total_pop,6_town,Clinton,2023,total_pop,13317,26,NA,NA
total_pop,6_town,Cromwell,2023,total_pop,14301,21,NA,NA
