level,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
2_state,Connecticut,3598348,733998,0.2,2864350,0.8,650772,0.18,1765117,0.49,1833231,0.51,2265780,0.63,355413,0.1,640668,0.18,336487,0.09,555161,0.15,1420170,939912,0.66,479072,0.35,1298057,0.91,2532853,219549,0.09,1062403,0.42,93760,3510193,351948,0.1,775737,0.22,724622,95177,0.13,204747,0.28,633062,52355,0.08,139185,0.22
3_county,Capitol COG,969029,197922,0.2,771107,0.8,171507,0.18,474604,0.49,494425,0.51,590481,0.61,111597,0.12,168439,0.17,98512,0.1,145486,0.15,389086,254424,0.65,122456,0.32,352042,0.9,675851,59710,0.09,280403,0.41,91541,939085,96546,0.1,205543,0.22,195481,25264,0.13,53959,0.28,166410,15018,0.09,36889,0.22
3_county,Greater Bridgeport COG,326296,72652,0.22,253644,0.78,51467,0.16,160029,0.49,166267,0.51,174303,0.53,36215,0.11,85034,0.26,30744,0.09,73230,0.22,118335,77362,0.65,47181,0.41,105592,0.89,220459,28095,0.13,91838,0.42,87135,318192,42096,0.13,84501,0.27,71851,12811,0.18,24061,0.33,50445,5543,0.11,12969,0.26
3_county,Lower Connecticut River Valley COG,174983,29746,0.17,145237,0.83,37808,0.22,86295,0.49,88688,0.51,140056,0.8,7957,0.05,13031,0.07,13939,0.08,14099,0.08,73624,55387,0.75,22133,0.31,69489,0.94,129894,6199,0.05,59038,0.45,101117,169707,11625,0.07,29454,0.17,29351,2048,0.07,5509,0.19,36500,2199,0.06,7321,0.2
3_county,Naugatuck Valley COG,452303,92290,0.2,360013,0.8,84656,0.19,221077,0.49,231226,0.51,276403,0.61,46541,0.1,86804,0.19,42555,0.09,60819,0.13,178340,120630,0.68,60345,0.35,162363,0.91,323618,31284,0.1,109346,0.34,86365,446387,46175,0.1,105222,0.24,90896,12746,0.14,27341,0.3,82466,6999,0.08,20058,0.24
3_county,Northeastern Connecticut COG,95829,17836,0.19,77993,0.81,18252,0.19,47829,0.5,48000,0.5,83553,0.87,1611,0.02,4839,0.05,5826,0.06,4074,0.04,39155,29835,0.76,10721,0.28,37396,0.96,71008,5606,0.08,18575,0.26,87564,94748,8137,0.09,19792,0.21,17705,2069,0.12,5100,0.29,17811,1423,0.08,4060,0.23
3_county,Northwest Hills COG,112848,20400,0.18,92448,0.82,25101,0.22,56408,0.5,56440,0.5,93305,0.83,2826,0.03,9442,0.08,7275,0.06,9837,0.09,47035,35683,0.76,13598,0.3,44293,0.94,84448,5016,0.06,33264,0.39,91035,111434,10224,0.09,21749,0.2,19950,2238,0.11,4749,0.24,24407,1738,0.07,4598,0.19
3_county,South Central Connecticut COG,566803,112160,0.2,454643,0.8,103124,0.18,273939,0.48,292864,0.52,337620,0.6,73955,0.13,108273,0.19,46955,0.08,75895,0.13,227739,137908,0.61,81094,0.37,202961,0.89,396925,33077,0.08,163023,0.41,86266,547777,63456,0.12,137799,0.25,110589,17811,0.16,37696,0.34,100179,8854,0.09,23851,0.24
3_county,Southeastern Connecticut COG,279025,54621,0.2,224404,0.8,53143,0.19,139744,0.5,139281,0.5,199002,0.71,13847,0.05,40941,0.15,25235,0.09,24659,0.09,114577,74923,0.65,36210,0.32,106050,0.93,197124,14503,0.07,68278,0.35,84185,268371,28317,0.11,64285,0.24,53951,7983,0.15,17238,0.32,51440,3477,0.07,11011,0.21
3_county,Western Connecticut COG,621232,136371,0.22,484861,0.78,105714,0.17,305192,0.49,316040,0.51,371057,0.6,60864,0.1,123865,0.2,65446,0.11,147062,0.24,232279,153760,0.66,85334,0.37,217871,0.94,433526,36059,0.08,238638,0.55,124553,614492,45372,0.07,107392,0.17,134848,12207,0.09,29094,0.22,103404,7104,0.07,18428,0.18
4_region,6 wealthiest Fairfield County,123435,33906,0.27,89529,0.73,20856,0.17,60414,0.49,63021,0.51,99339,0.8,2590,0.02,8196,0.07,13310,0.11,17629,0.14,42819,36926,0.86,13469,0.32,41515,0.97,81235,1669,0.02,63593,0.78,NA,122827,4404,0.04,9240,0.08,33725,863,0.03,2051,0.06,20583,1093,0.05,2386,0.12
4_region,Backus Hospital HSA,116223,24387,0.21,91836,0.79,20045,0.17,58592,0.5,57631,0.5,84874,0.73,6271,0.05,13637,0.12,11441,0.1,9416,0.08,46254,32933,0.71,14735,0.33,42777,0.92,82583,7017,0.08,19797,0.24,NA,114601,11714,0.1,27565,0.24,24058,3533,0.15,7756,0.32,19612,1507,0.08,4896,0.25
4_region,Backus Hospital HSA other towns,76231,15948,0.21,60283,0.79,12898,0.17,38638,0.51,37593,0.49,62499,0.82,2245,0.03,5064,0.07,6423,0.08,3583,0.05,29414,23831,0.81,8106,0.28,27937,0.95,54501,3575,0.07,13449,0.25,NA,74914,5793,0.08,14421,0.19,15755,1689,0.11,4069,0.26,12613,854,0.07,2659,0.21
4_region,Charlotte Hungerford HSA,100237,18585,0.19,81652,0.81,21651,0.22,50285,0.5,49952,0.5,82505,0.82,2695,0.03,8600,0.09,6437,0.06,7736,0.08,42291,32026,0.76,12664,0.31,39497,0.93,74716,4598,0.06,27299,0.37,NA,99004,9012,0.09,19222,0.19,18117,1953,0.11,4073,0.22,21021,1630,0.08,4089,0.19
4_region,Charlotte Hungerford HSA other towns,54514,10846,0.2,43668,0.8,12217,0.22,27477,0.5,27037,0.5,47821,0.88,441,0.01,2892,0.05,3360,0.06,2830,0.05,22123,18685,0.84,6033,0.28,21179,0.96,40371,1271,0.03,18568,0.46,NA,54133,2866,0.05,6169,0.11,10730,688,0.06,1132,0.11,12013,438,0.04,1573,0.13
4_region,Eastern Connecticut Health Network,224550,46954,0.21,177596,0.79,37256,0.17,111605,0.5,112945,0.5,136557,0.61,23290,0.1,37257,0.17,27446,0.12,32665,0.15,90908,59503,0.65,27500,0.31,84806,0.93,159075,10736,0.07,61537,0.39,NA,222704,22777,0.1,50996,0.23,46274,5689,0.12,12916,0.28,36383,3667,0.1,8514,0.23
4_region,Eastern Connecticut Health Network other towns,83902,18617,0.22,65285,0.78,14949,0.18,41937,0.5,41965,0.5,66278,0.79,1747,0.02,4608,0.05,11269,0.13,9570,0.11,31841,26275,0.83,7413,0.24,30911,0.97,58016,1831,0.03,30004,0.52,NA,83510,4556,0.05,9215,0.11,18386,997,0.05,1854,0.1,14833,746,0.05,1956,0.13
4_region,Eastern cities,129182,24724,0.19,104458,0.81,21885,0.17,64976,0.5,64206,0.5,73557,0.57,10561,0.08,32174,0.25,12890,0.1,16298,0.13,54307,26544,0.49,20546,0.39,48248,0.89,86872,9390,0.11,25678,0.3,NA,121490,19397,0.16,41134,0.34,24296,5652,0.23,11720,0.48,21034,1777,0.08,5441,0.26
4_region,Greater Bridgeport,326296,72652,0.22,253644,0.78,51467,0.16,160029,0.49,166267,0.51,174303,0.53,36215,0.11,85034,0.26,30744,0.09,73230,0.22,118335,77362,0.65,47181,0.41,105592,0.89,220459,28095,0.13,91838,0.42,NA,318192,42096,0.13,84501,0.27,71851,12811,0.18,24061,0.33,50445,5543,0.11,12969,0.26
4_region,Greater Danbury,267695,56398,0.21,211297,0.79,52182,0.19,131818,0.49,135877,0.51,181297,0.68,15277,0.06,44592,0.17,26529,0.1,51362,0.19,101132,76023,0.75,34570,0.35,95747,0.95,189379,15520,0.08,90457,0.48,NA,263448,18055,0.07,45211,0.17,55976,4639,0.08,12253,0.22,50980,3577,0.07,9047,0.18
4_region,Greater Danbury other towns,153448,33228,0.22,120220,0.78,33381,0.22,75100,0.49,78348,0.51,121758,0.79,4542,0.03,14472,0.09,12676,0.08,18065,0.12,57957,49606,0.86,17312,0.3,55485,0.96,109506,4695,0.04,61717,0.56,NA,151888,6629,0.04,18478,0.12,32994,1364,0.04,4638,0.14,32697,1972,0.06,5119,0.16
4_region,Greater Hartford,969029,197922,0.2,771107,0.8,171507,0.18,474604,0.49,494425,0.51,590481,0.61,111597,0.12,168439,0.17,98512,0.1,145486,0.15,389086,254424,0.65,122456,0.32,352042,0.9,675851,59710,0.09,280403,0.41,NA,939085,96546,0.1,205543,0.22,195481,25264,0.13,53959,0.28,166410,15018,0.09,36889,0.22
4_region,Greater New Haven,462346,91141,0.2,371205,0.8,84274,0.18,223671,0.48,238675,0.52,272662,0.59,68579,0.15,80630,0.17,40475,0.09,64611,0.14,184376,109604,0.59,66662,0.37,162977,0.88,321411,25174,0.08,140649,0.44,NA,444609,52497,0.12,111451,0.25,89703,14472,0.16,29877,0.33,82225,7161,0.09,18894,0.23
