topic,indicator,display,website
age,estimate total_pop,Total population,Total Population
age,estimate ages00_17,Population under age 18,Population Ages 0-17
age,share ages00_17,Percent under age 18,"% of Total Population, Ages 0-17"
age,estimate ages18plus,Population ages 18+,
age,share ages18plus,Percent ages 18+,
age,estimate ages65plus,Population ages 65+,Population Ages 65+
age,share ages65plus,Percent ages 65+,"% of Total Population, Ages 65+"
race,estimate total_pop,Total population,Total Population
race,estimate latino,Latino population,Latino Population
race,share latino,Percent Latino,"% of Total Population, Latino"
race,estimate white,White population,White Non-Hispanic Population
race,share white,Percent white,"% of Total Population, White Non-Hispanic"
race,estimate black,Black population,Black Non-Hispanic Population
race,share black,Percent black,"% of Total Population, Black Non-Hispanic"
race,estimate other_race,Other race population,Other Race Non-Hispanic Population
race,share other_race,Percent other race,"% of Total Population, Other Race Non-Hispanic"
immigration,estimate total_pop,Total population,Total Population
immigration,estimate foreign_born,Foreign-born population,Foreign-born Population
immigration,share foreign_born,Percent foreign-born,"% of Total Population, Foreign-born"
housing,estimate total_households,Total households,Total Households
housing,estimate owner_occupied,Owner-occupied households,Owner-Occupied Households
housing,share owner_occupied,Homeownership rate,Homeownership Rate
housing,estimate cost_burden,Cost-burdened households,Cost-Burdened Households
housing,share cost_burden,Cost-burden rate,"% of Households, Cost-Burdened"
income,estimate poverty_status_determined,Poverty status known,"Total Population, Poverty Status Determined"
income,estimate poverty,Population in poverty,Population in Poverty
income,share poverty,Poverty rate,Poverty Rate
income,estimate low_income,Low-income population,Population Low-Income
income,share low_income,Low-income rate,Low-Income Rate
income_children,estimate ages00_17_poverty_status_determined,"Under 18, poverty status known","Population Ages 0-17, Poverty Status Determined"
income_children,estimate ages00_17_poverty,Children in poverty,Population Ages 0-17 In Poverty
income_children,share ages00_17_poverty,Child poverty rate,"Population Ages 0-17, Poverty Rate"
income_children,estimate ages00_17_low_income,Low-income children,Population Ages 0-17 Low-Income
income_children,share ages00_17_low_income,Child low-income rate,"Population Ages 0-17, Low-Income Rate"
income_seniors,estimate ages65plus_poverty_status_determined,"Ages 65+, poverty status known","Population Ages 65+, Poverty Status Determined"
income_seniors,estimate ages65plus_poverty,Seniors in poverty,Population Ages 65+ In Poverty
income_seniors,share ages65plus_poverty,Senior poverty rate,Population Ages 65+ Poverty Rate
income_seniors,estimate ages65plus_low_income,Low-income seniors,Population Ages 65+ Low-Income
income_seniors,share ages65plus_low_income,Senior low-income rate,"Population Ages 65+, Low-Income Rate"
sex,estimate male,Male population,Population Male
sex,share male,Percent male,"% of Total Population, Male"
sex,estimate female,Female population,Population Female
sex,share female,Percent female,"% of Total Population, Female"
vehicles,estimate has_vehicle,Households with 1+ vehicles,Households with a car
vehicles,share has_vehicle,"Percent of households, 1+ vehicles","% of Households, with a car"
education,estimate ages25plus,Adults ages 25+,Population Ages 25+
education,estimate less_than_high_school,Adults without high school diploma,Ages 25+ without a high school diploma
education,share less_than_high_school,"Percent of adults, no high school diploma","% of Population Ages 25+, without a high school diploma"
education,estimate bachelors_plus,Adults with bachelor's or higher,Ages 25+ with a Bachelor's degree or more
education,share bachelors_plus,"Percent of adults, bachelor's or higher","% of Population Ages 25+, with a Bachelor's degree or more"
median_household_income,estimate median_household_income,Median household income,Median Household Income
wellbeing,satisfied_w_area,"% of adults, Satisfied with area where they live","% of adults, Satisfied with area where they live"
wellbeing,safe_to_walk_at_night,"% of adults, Feel safe to walk at night in their neighborhood","% of adults, Feel safe to walk at night in their neighborhood"
wellbeing,self_rated_health,"% of adults, In excellent or very good health","% of adults, In excellent or very good health"
wellbeing,obesity,"% of adults, Obese","% of adults, Obese"
wellbeing,smoking,"% of adults, Currently smoke","% of adults, Currently smoke"
wellbeing,food_insecure,Food Insecurity Rate,Food Insecurity Rate
wellbeing,housing_insecure,Housing Insecurity Rate,Housing Insecurity Rate
wellbeing,transportation_insecure,Transportation Insecurity Rate,Transportation Insecurity Rate
wellbeing,underemployment,"% of working adults, Underemployed","% of working adults, Underemployed"
